날짜,도시,시간,활동 및 장소,예상 비용(EUR),숙소 상태,비고 및 링크
4/3 (금),Paris -> Lyon,18:10,CDG 공항 착륙 및 입국 심사,0,리옹 1박 (입실),AF267편 도착
4/3 (금),Paris -> Lyon,19:10,CDG 2번 터미널 TGV역 이동,0,,공항 내 직결 통로
4/3 (금),Paris -> Lyon,20:00,🚆 TGV 탑승 (CDG -> 리옹),45,,파리 시내 경유 없음
4/3 (금),Paris -> Lyon,20:30,🍴 저녁: TGV Bar Wagon 미식,20,,바게트 샌드위치 & 와인
4/3 (금),Paris -> Lyon,22:00,리옹 파르디외 역 도착 및 이동,2,,
4/3 (금),Paris -> Lyon,22:30,🏠 [체크인] Slo Lyon Les Pentes,45,,Slo Lyon 호스텔
4/4 (토),Lyon,09:30,🥨 Les Halles Paul Bocuse 시장 투어,30,리옹 2박 (연박),프랑스 미식 성지
4/4 (토),Lyon,12:30,🍴 점심: 시장 내 해산물 바,35,,신선한 굴 & 화이트 와인
4/4 (토),Lyon,15:00,🚶 리옹 올드타운 트라불(비밀길) 탐사,0,,유네스코 건축 유산
4/4 (토),Lyon,17:00,⛪ 푸르비에르 성당 내부 관람,0,,리옹 전경 감상
4/4 (토),Lyon,18:40,🍴 저녁: Daniel et Denise (부숑),45,,미슐랭 가이드 정통 부숑
4/4 (토),Lyon,21:00,🎡 벨쿠르 광장 야간 관람차,12,,야경 명소
4/5 (일),Lyon,10:00,🎥 뤼미에르 박물관 방문,12,리옹 3박 (연박),영화의 탄생지
4/5 (일),Lyon,13:00,🍴 점심: 론 강변 가성비 비스트로,30,,
4/5 (일),Lyon,15:30,🛍️ 콩플뤼앙스 현대 건축 쇼핑몰,0,,미래지향적 디자인
4/5 (일),Lyon,18:40,🍴 저녁: Le Musee (부숑),40,,현지인 추천 1순위
4/5 (일),Lyon,21:00,🌉 콩플뤼앙스 야간 조명 감상,0,,현대적 야경 포인트
4/6 (월),Interlaken,08:30,🔑 [체크아웃] 리옹 숙소 퇴실,0,인터라켄 1박 (입실),
4/6 (월),Interlaken,09:30,🚆 TGV/SBB 탑승 (리옹 -> 인터라켄),95,,제네바 경유
4/6 (월),Interlaken,13:30,🧳 [짐 보관] Backpackers Villa,0,,인터라켄 오스트 인근
4/6 (월),Interlaken,14:30,⛴️ 브리엔츠 호수 유람선,40,,에메랄드빛 풍경
4/6 (월),Interlaken,17:00,🏠 [공식 체크인] 숙소 입실,85,,주방 시설 완비
4/6 (월),Interlaken,17:40,🛒 Coop 마트 장보기,35,,스위스 물가 방어 전략
4/6 (월),Interlaken,18:40,🍴 저녁: 호스텔 주방 직접 요리,0,,삼겹살 & 로컬 맥주
4/7 (화),Jungfraujoch,08:30,🚆 융프라우 산악열차 등정,165,인터라켄 2박 (연박),아이거 익스프레스 경유
4/7 (화),Jungfraujoch,11:00,❄️ 전망대 & 얼음궁전 관람,0,,해발 3454m
4/7 (화),Jungfraujoch,13:00,🍴 점심: 산 위 레스토랑 미식,30,,만년설 뷰 식사
4/7 (화),Jungfraujoch,15:30,🚶 라우터브루넨 폭포 마을 구경,0,,슈타우바흐 폭포
4/7 (화),Jungfraujoch,18:30,🍴 저녁: Des Alpes (치즈 퐁듀),65,,정통 스위스 외식
4/8 (수),Grindelwald,09:30,🚠 피르스트 곤돌라 등정,60,인터라켄 3박 (연박),
4/8 (수),Grindelwald,11:30,🚶 피르스트 클리프 워크 체험,0,,아찔한 절벽 보행로
4/8 (수),Grindelwald,13:00,🍴 점심: 피르스트 산장 (뢰스티),35,,스위스식 감자전
4/8 (수),Grindelwald,16:00,🛤️ 벵겐(Wengen) 기차 마을 구경,0,,동화 속 마을
4/8 (수),Grindelwald,18:40,🍴 저녁: 호스텔 주방 스테이크 요리,20,,Coop 로컬 한우
4/9 (목),Milan,08:30,🔑 [체크아웃] 인터라켄 퇴실,0,밀라노 1박 (입실),
4/9 (목),Milan,10:00,🚆 EuroCity (인터라켄 -> 밀라노),85,,알프스 종단 열차
4/9 (목),Milan,14:30,🏠 [체크인] Ostello Bello Milano,60,,중앙역 인근
4/9 (목),Milan,16:00,⛪ 밀라노 두오모 테라스 등정,20,,고딕 건축의 진수
4/9 (목),Milan,18:40,🍴 저녁: Risotto alla Milanese,45,,정통 사프란 리조또
4/9 (목),Milan,21:00,🛍️ 갤러리아 야경 쇼핑몰 관람,0,,건축적 아름다움
4/10 (금),Milan,10:00,🎨 브레라 지구 예술 도보 투어,0,밀라노 2박 (연박),
4/10 (금),Milan,12:30,🍴 점심: Luini Panzerotti,12,,밀라노 전통 간식
4/10 (금),Milan,15:00,🏰 스포르체스코 성 건축 탐방,0,,레오나르도 흔적
4/10 (금),Milan,17:30,🍹 나빌리오 운하 아페리티보,25,,밀라노의 즐거운 문화
4/10 (금),Milan,19:30,🍴 저녁: 로컬 피제리아,30,,정통 나폴리식 피자
4/11 (토),Florence,09:30,🔑 [체크아웃] 밀라노 퇴실,0,피렌체 1박 (입실),
4/11 (토),Florence,10:30,🚆 Frecciarossa 탑승 (피렌체행),45,,이탈리아 고속열차
4/11 (토),Florence,13:00,🍴 점심: All'Antico Vinaio,15,,전설의 샌드위치
4/11 (토),Florence,15:00,🏠 [체크인] YellowSquare Florence,65,,모던 디자인 숙소
4/11 (토),Florence,16:30,⛪ 피렌체 두오모 광장 투어,0,,브루넬레스키의 돔
4/11 (토),Florence,18:40,🍴 저녁: Trattoria ZaZa,65,,티본 스테이크 명가
4/11 (토),Florence,21:00,🌃 미켈란젤로 광장 야경,0,,피렌체 최고의 사진스팟
4/12 (일),Florence,09:30,🎨 우피치 미술관 관람,25,피렌체 2박 (연박),사전 예약 필수
4/12 (일),Florence,13:00,🍴 점심: 중앙시장 곱창버거,15,,서민 미식 체험
4/12 (일),Florence,15:00,🌉 베키오 다리 산책 & 금 세공,0,,건축적 특징 관람
4/12 (일),Florence,17:00,🍦 Vivoli 젤라또 체험,8,,피렌체 최고령 맛집
4/12 (일),Florence,19:00,🍴 저녁: 로컬 오스테리아 (Pasta),45,,
4/13 (월),Florence,10:00,🗿 아카데미아 미술관 (다비드),20,피렌체 3박 (연박),미켈란젤로의 걸작
4/13 (월),Florence,12:30,🍴 점심: 산 로렌초 로컬 마켓,20,,현대적 미식 마켓
4/13 (월),Florence,15:00,🌳 피티 궁전 & 보볼리 정원,18,,메디치 가문의 조경
4/13 (월),Florence,18:40,🍴 저녁: 아르노 강변 야외 테라스,50,,분위기 좋은 저녁
4/14 (화),Bologna,10:00,🔑 [체크아웃] 피렌체 퇴실,0,볼로냐 1박 (입실),
4/14 (화),Bologna,10:40,🚆 고속열차 (피렌체 -> 볼로냐),25,,35분 소요
4/14 (화),Bologna,11:30,🏠 [체크인] Combo Bologna,55,,세련된 인더스트리얼 숙소
4/14 (화),Bologna,13:00,🍴 점심: Tagliatelle al Ragù,30,,정통 볼로네제 파스타
4/14 (화),Bologna,15:00,⛪ 마조레 광장 건축 투어,0,,볼로냐 중심부
4/14 (화),Bologna,17:00,🚶 볼로냐 사탑(Two Towers) 등정,10,,도시 전체 조망
